method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
active-gs-gt-depth,1,18,0.134569,0.033899,0.723450,0.317093,0.190226,0.113305
active-gs-gt-depth,2,18,0.228262,0.077110,0.598053,0.318087,0.168886,0.094403
active-gs-gt-depth,3,18,0.311262,0.116688,0.565029,0.300801,0.248170,0.152977
active-gs-gt-depth,4,18,0.353609,0.153512,0.532296,0.322916,0.212962,0.123334
active-gs-gt-depth,5,18,0.375889,0.170374,0.527180,0.324602,0.226932,0.106578
active-gs-gt-depth,6,18,0.401324,0.182994,0.531913,0.324421,0.256469,0.124892
active-gs-gt-depth,7,18,0.430771,0.201788,0.528375,0.322703,0.227367,0.118545
active-gs-gt-depth,8,18,0.445635,0.212561,0.533288,0.320143,0.234789,0.120892
active-gs-gt-depth,9,18,0.478866,0.232090,0.535598,0.319217,0.237173,0.110972
active-gs-gt-depth,10,18,0.496230,0.242642,0.535059,0.322028,0.251326,0.129581
active-gs-gt-depth,11,18,0.506426,0.250303,0.528749,0.323639,0.234080,0.112641
active-gs-gt-depth,12,18,0.519269,0.258621,0.545351,0.312889,0.245021,0.108388
active-gs-gt-depth,13,18,0.533039,0.267816,0.533055,0.320502,0.225072,0.102101
active-gs-gt-depth,14,18,0.543208,0.274546,0.539234,0.315739,0.221673,0.092326
active-gs-gt-depth,15,18,0.546957,0.277244,0.532802,0.320574,0.217173,0.086410
active-gs-gt-depth,16,18,0.550523,0.279718,0.527974,0.323377,0.209226,0.073459
active-gs-gt-depth,17,18,0.554654,0.282607,0.523914,0.328863,0.199146,0.050166
active-gs-gt-depth,18,18,0.558340,0.285178,0.521594,0.331960,0.183852,0.045643
active-gs-gt-depth,19,18,0.561201,0.287188,0.523821,0.331401,0.188547,0.052795
active-gs-gt-depth,20,18,0.564200,0.289275,0.515345,0.335810,0.190099,0.063901
active-gs-gt-depth,21,18,0.566984,0.291171,0.519975,0.333562,0.187438,0.059952
active-gs-gt-depth,22,18,0.569072,0.292657,0.517803,0.335644,0.185318,0.054858
active-gs-gt-depth,23,18,0.571630,0.294484,0.517539,0.334098,0.191081,0.059135
active-gs-gt-depth,24,18,0.572908,0.295393,0.518753,0.334722,0.191054,0.059409
active-gs-gt-depth,25,18,0.574620,0.296597,0.514046,0.335294,0.193876,0.064964
active-gs-gt-depth,26,18,0.576250,0.297759,0.504250,0.340768,0.187266,0.053707
active-gs-gt-depth,27,18,0.577585,0.298689,0.504724,0.340962,0.191651,0.061115
active-gs-gt-depth,28,18,0.578879,0.299587,0.500331,0.343556,0.190037,0.060826
active-gs-gt-depth,29,18,0.579956,0.300320,0.505918,0.337395,0.193123,0.063646
