method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
active-gs-gt-depth,1,3,0.131274,0.025643,0.629100,0.294128,0.262329,0.146273
active-gs-gt-depth,2,3,0.244588,0.062760,0.489887,0.243889,0.095642,0.030567
active-gs-gt-depth,3,3,0.447084,0.014147,0.395126,0.029646,0.346658,0.253500
active-gs-gt-depth,4,3,0.522156,0.025118,0.263701,0.057688,0.256034,0.232069
active-gs-gt-depth,5,3,0.545062,0.026841,0.335005,0.020958,0.209031,0.185266
active-gs-gt-depth,6,3,0.580454,0.021658,0.330057,0.033523,0.236054,0.138979
active-gs-gt-depth,7,3,0.591414,0.011446,0.341092,0.032535,0.229143,0.128896
active-gs-gt-depth,8,3,0.617191,0.036404,0.323958,0.012598,0.247437,0.135537
active-gs-gt-depth,9,3,0.656860,0.048085,0.301288,0.056635,0.228137,0.137492
active-gs-gt-depth,10,3,0.696385,0.001282,0.320230,0.077512,0.265935,0.167204
active-gs-gt-depth,11,3,0.717005,0.013076,0.296713,0.055987,0.216496,0.119517
active-gs-gt-depth,12,3,0.733351,0.010363,0.349187,0.051490,0.216118,0.089979
active-gs-gt-depth,13,3,0.750172,0.002368,0.345774,0.063188,0.209966,0.105387
active-gs-gt-depth,14,3,0.759474,0.002497,0.333583,0.021578,0.225068,0.070879
active-gs-gt-depth,15,3,0.766407,0.008751,0.312207,0.037417,0.170215,0.009541
active-gs-gt-depth,16,3,0.772103,0.008522,0.305248,0.078163,0.163746,0.020587
active-gs-gt-depth,17,3,0.776385,0.006889,0.281260,0.062688,0.184132,0.016174
active-gs-gt-depth,18,3,0.780716,0.006171,0.265472,0.069312,0.182028,0.012025
active-gs-gt-depth,19,3,0.783785,0.004896,0.279572,0.080040,0.185541,0.013222
active-gs-gt-depth,20,3,0.786781,0.003369,0.282555,0.081993,0.173265,0.011486
active-gs-gt-depth,21,3,0.789343,0.002475,0.292905,0.054150,0.164147,0.013892
active-gs-gt-depth,22,3,0.793175,0.002982,0.277031,0.045093,0.175526,0.020248
active-gs-gt-depth,23,3,0.799634,0.002188,0.308508,0.034033,0.188713,0.017112
active-gs-gt-depth,24,3,0.801726,0.002279,0.322623,0.079778,0.197245,0.017467
active-gs-gt-depth,25,3,0.804760,0.003049,0.306834,0.039377,0.204470,0.048097
active-gs-gt-depth,26,3,0.806999,0.003998,0.298520,0.026684,0.206549,0.045895
active-gs-gt-depth,27,3,0.808255,0.004230,0.303884,0.022776,0.237716,0.067436
active-gs-gt-depth,28,3,0.809106,0.004168,0.310483,0.021505,0.229847,0.060457
active-gs-gt-depth,29,3,0.809460,0.004028,0.313786,0.024274,0.232696,0.070207
active-gs-gt-depth,30,3,0.810145,0.004064,0.302817,0.033808,0.246109,0.062934
active-gs-gt-depth,31,3,0.811142,0.004353,0.271819,0.041186,0.209186,0.031358
active-gs-gt-depth,32,3,0.813007,0.003259,0.258147,0.043940,0.199228,0.021420
active-gs-gt-depth,33,3,0.814095,0.002741,0.253740,0.020068,0.193030,0.023768
active-gs-gt-depth,34,3,0.814891,0.002401,0.246529,0.021329,0.193549,0.021744
active-gs-gt-depth,35,3,0.816053,0.002026,0.262488,0.032352,0.188532,0.016031
active-gs-gt-depth,36,3,0.816453,0.002119,0.277719,0.044865,0.186121,0.022910
active-gs-gt-depth,37,3,0.818155,0.003104,0.273887,0.041255,0.190100,0.017088
active-gs-gt-depth,38,3,0.818469,0.003262,0.288162,0.030072,0.190363,0.020195
active-gs-gt-depth,39,3,0.820426,0.002308,0.289727,0.025110,0.195173,0.020108
active-gs-gt-depth,40,3,0.820689,0.002514,0.288626,0.027936,0.199237,0.029371
active-gs-gt-depth,41,3,0.821006,0.002680,0.289691,0.026192,0.199093,0.025999
active-gs-gt-depth,42,3,0.821848,0.002323,0.279471,0.024452,0.204935,0.028584
active-gs-gt-depth,43,3,0.822340,0.001914,0.268552,0.026465,0.199728,0.025020
active-gs-gt-depth,44,3,0.822456,0.001881,0.274473,0.036838,0.193778,0.030003
active-gs-gt-depth,45,3,0.823297,0.001504,0.262755,0.040494,0.193405,0.030622
active-gs-gt-depth,46,3,0.824719,0.001616,0.261035,0.038522,0.192415,0.031520
active-gs-gt-depth,47,3,0.825789,0.001964,0.259352,0.037353,0.191455,0.027678
active-gs-gt-depth,48,3,0.826560,0.001219,0.264410,0.033877,0.184358,0.025596
active-gs-gt-depth,49,3,0.827983,0.000479,0.252940,0.030112,0.181079,0.019967
active-gs-gt-depth,50,3,0.828065,0.000430,0.247298,0.019240,0.179186,0.022659
active-gs-gt-depth,51,3,0.828680,0.000813,0.251932,0.017862,0.179662,0.023386
active-gs-gt-depth,52,3,0.828784,0.000835,0.255378,0.019349,0.178175,0.021616
active-gs-gt-depth,53,3,0.829447,0.000861,0.252749,0.029823,0.175249,0.019210
active-gs-gt-depth,54,3,0.829955,0.000920,0.254200,0.039703,0.171590,0.016676
active-gs-gt-depth,55,3,0.830404,0.000688,0.259131,0.037801,0.169996,0.014287
active-gs-gt-depth,56,3,0.830676,0.000730,0.261193,0.042363,0.167047,0.015248
active-gs-gt-depth,57,3,0.830949,0.000498,0.261146,0.048988,0.167376,0.014676
active-gs-gt-depth,58,3,0.832217,0.001492,0.257653,0.044129,0.168631,0.012735
active-gs-gt-depth,59,3,0.832783,0.001870,0.250802,0.043346,0.166892,0.014525
active-gs-gt-depth,60,3,0.833364,0.001832,0.246810,0.037032,0.166638,0.015353
active-gs-pred-depth,1,3,0.131274,0.025643,0.629470,0.294394,0.262329,0.146273
active-gs-pred-depth,2,3,0.319122,0.080419,0.406681,0.190935,0.268359,0.229590
active-gs-pred-depth,3,3,0.437661,0.064837,0.304441,0.033241,0.450009,0.292915
active-gs-pred-depth,4,3,0.503884,0.060880,0.270292,0.097506,0.559826,0.128101
active-gs-pred-depth,5,3,0.541310,0.059425,0.252044,0.046617,0.515466,0.121965
active-gs-pred-depth,6,3,0.583610,0.058688,0.234544,0.012621,0.475021,0.137273
active-gs-pred-depth,7,3,0.592438,0.064626,0.236218,0.036338,0.473358,0.140712
active-gs-pred-depth,8,3,0.608400,0.061236,0.229431,0.021466,0.525930,0.166257
active-gs-pred-depth,9,3,0.642007,0.030282,0.262889,0.033120,0.515364,0.174506
active-gs-pred-depth,10,3,0.655597,0.024839,0.247941,0.004801,0.522083,0.187572
active-gs-pred-depth,11,3,0.681344,0.008724,0.245795,0.008359,0.448504,0.154493
active-gs-pred-depth,12,3,0.684982,0.009941,0.254692,0.008492,0.410231,0.168531
active-gs-pred-depth,13,3,0.689112,0.013658,0.265328,0.011716,0.416322,0.164198
active-gs-pred-depth,14,3,0.699606,0.021049,0.281122,0.021209,0.412823,0.166571
active-gs-pred-depth,15,3,0.700574,0.021436,0.284541,0.022608,0.423106,0.159311
active-gs-pred-depth,16,3,0.704649,0.025529,0.298876,0.037937,0.424489,0.158393
active-gs-pred-depth,17,3,0.710729,0.028382,0.292672,0.031134,0.400506,0.176606
active-gs-pred-depth,18,3,0.710761,0.028409,0.291551,0.031082,0.405886,0.173796
active-gs-pred-depth,19,3,0.713730,0.031147,0.295293,0.031566,0.384493,0.186563
active-gs-pred-depth,20,3,0.718206,0.035814,0.277355,0.036886,0.364916,0.201544
active-gs-pred-depth,21,3,0.719115,0.036822,0.281743,0.033949,0.352151,0.212689
active-gs-pred-depth,22,3,0.719535,0.037294,0.295618,0.031649,0.351831,0.212981
active-gs-pred-depth,23,3,0.719866,0.037668,0.295825,0.031706,0.359149,0.206458
active-gs-pred-depth,24,3,0.722237,0.040406,0.308882,0.039716,0.365521,0.201041
active-gs-pred-depth,25,3,0.722841,0.041117,0.308240,0.039158,0.362522,0.203559
active-gs-pred-depth,26,3,0.725429,0.044225,0.309050,0.039865,0.367325,0.199553
active-gs-pred-depth,27,3,0.725618,0.044455,0.307711,0.038707,0.361435,0.204485
active-gs-pred-depth,28,3,0.725943,0.044852,0.305217,0.036715,0.356186,0.209061
active-gs-pred-depth,29,3,0.726632,0.045698,0.312138,0.042735,0.348332,0.216205
active-gs-pred-depth,30,3,0.726700,0.045781,0.313290,0.043869,0.352045,0.212786
active-gs-pred-depth,31,3,0.726939,0.046076,0.313309,0.043888,0.344982,0.219352
active-gs-pred-depth,32,3,0.727409,0.046657,0.313780,0.044361,0.343048,0.221194
active-gs-pred-depth,33,3,0.727810,0.047154,0.326974,0.059137,0.344844,0.219483
active-gs-pred-depth,34,3,0.728148,0.047575,0.323441,0.054949,0.341762,0.222430
active-gs-pred-depth,35,3,0.728640,0.048189,0.329394,0.062075,0.340330,0.223815
active-gs-pred-depth,36,3,0.728794,0.048381,0.335843,0.070118,0.340601,0.223553
active-gs-pred-depth,37,3,0.728973,0.048606,0.333808,0.067551,0.339151,0.224962
active-gs-pred-depth,38,3,0.729680,0.049494,0.331418,0.064569,0.336713,0.227356
active-gs-pred-depth,39,3,0.730107,0.050032,0.330118,0.062963,0.338965,0.225144
active-gs-pred-depth,40,3,0.730342,0.050329,0.329530,0.062242,0.342004,0.222197
active-gs-pred-depth,41,3,0.730368,0.050362,0.333767,0.067499,0.343041,0.221202
active-gs-pred-depth,42,3,0.730368,0.050362,0.335312,0.069446,0.343663,0.220607
active-gs-pred-depth,43,3,0.730368,0.050362,0.337814,0.072628,0.344120,0.220171
active-gs-pred-depth,44,3,0.730734,0.050826,0.333886,0.067649,0.340162,0.223978
active-gs-pred-depth,45,3,0.730844,0.050965,0.332803,0.066292,0.340577,0.223576
active-gs-pred-depth,46,3,0.730844,0.050965,0.335123,0.069208,0.341104,0.223066
active-gs-pred-depth,47,3,0.731059,0.051238,0.337874,0.072704,0.341282,0.222893
active-gs-pred-depth,48,3,0.731059,0.051238,0.335691,0.069926,0.341431,0.222749
active-gs-pred-depth,49,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,50,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,51,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,52,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,53,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,54,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,55,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,56,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,57,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,58,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,59,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
active-gs-pred-depth,60,3,0.731278,0.051517,0.332746,0.066221,0.341756,0.222436
gleam-gt-depth,1,3,0.104881,0.027660,0.522484,0.255142,0.146055,0.079087
gleam-gt-depth,2,3,0.175613,0.005859,0.314110,0.073391,0.202358,0.099080
gleam-gt-depth,3,3,0.245957,0.042678,0.445763,0.023965,0.269760,0.218791
gleam-gt-depth,4,3,0.300547,0.025876,0.429364,0.002906,0.182026,0.155204
gleam-gt-depth,5,3,0.303996,0.027900,0.321084,0.072472,0.114872,0.059080
gleam-gt-depth,6,3,0.308989,0.030293,0.318855,0.076901,0.080531,0.035796
gleam-gt-depth,7,3,0.322342,0.038316,0.322262,0.094359,0.100528,0.091980
gleam-gt-depth,8,3,0.342727,0.052721,0.332388,0.093155,0.301636,0.352958
gleam-gt-depth,9,3,0.347347,0.046498,0.327302,0.031834,0.224275,0.260201
gleam-gt-depth,10,3,0.377468,0.013025,0.231419,0.068838,0.340024,0.448485
gleam-gt-depth,11,3,0.405032,0.023970,0.217713,0.040514,0.389578,0.504859
gleam-gt-depth,12,3,0.406851,0.025926,0.225207,0.032929,0.434365,0.568864
gleam-gt-depth,13,3,0.407184,0.025690,0.249221,0.040543,0.408639,0.536371
gleam-gt-depth,14,3,0.414270,0.022471,0.240319,0.030054,0.405148,0.538844
gleam-gt-depth,15,3,0.425234,0.025708,0.229238,0.020601,0.404803,0.539091
gleam-gt-depth,16,3,0.425822,0.026131,0.241321,0.031157,0.405495,0.538597
gleam-gt-depth,17,3,0.427017,0.027050,0.240376,0.030116,0.405748,0.538417
gleam-gt-depth,18,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,19,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,20,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,21,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,22,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,23,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,24,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,25,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,26,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,27,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,28,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,29,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,30,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,31,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,32,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,33,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,34,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,35,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,36,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,37,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,38,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,39,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,40,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,41,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,42,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,43,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,44,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,45,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,46,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,47,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,48,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,49,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,50,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,51,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,52,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,53,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,54,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,55,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,56,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,57,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,58,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,59,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
gleam-gt-depth,60,3,0.427017,0.027050,0.239896,0.029597,0.406047,0.538204
random,1,3,0.103542,0.025867,0.944838,0.170145,0.069713,0.033257
random,2,3,0.149585,0.050021,0.527182,0.102336,0.041036,0.024149
random,3,3,0.206911,0.062883,0.265585,0.135896,0.125165,0.136825
random,4,3,0.234672,0.068651,0.198314,0.107081,0.033860,0.021871
random,5,3,0.279948,0.063212,0.181231,0.100570,0.027459,0.014691
random,6,3,0.320108,0.063877,0.148619,0.068424,0.032652,0.023609
random,7,3,0.335485,0.066210,0.132075,0.061836,0.057001,0.049343
