method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
active-gs-gt-depth,1,3,0.126811,0.022018,1.018779,0.132928,0.219079,0.066784
active-gs-gt-depth,2,3,0.207801,0.070322,0.663571,0.385513,0.103694,0.042252
active-gs-gt-depth,3,3,0.295507,0.110670,0.650095,0.390919,0.159523,0.057303
active-gs-gt-depth,4,3,0.350951,0.167110,0.608273,0.426189,0.184601,0.091274
active-gs-gt-depth,5,3,0.413587,0.193701,0.598471,0.429809,0.241562,0.068370
active-gs-gt-depth,6,3,0.417414,0.196439,0.594077,0.440220,0.223803,0.049003
active-gs-gt-depth,7,3,0.443613,0.217126,0.610138,0.424607,0.214713,0.039197
active-gs-gt-depth,8,3,0.476919,0.238493,0.610388,0.426776,0.222194,0.044716
active-gs-gt-depth,9,3,0.485201,0.244462,0.641957,0.403132,0.237079,0.062625
active-gs-gt-depth,10,3,0.491814,0.249080,0.627019,0.418537,0.253145,0.081143
active-gs-gt-depth,11,3,0.508534,0.261180,0.634089,0.409315,0.243036,0.067288
active-gs-gt-depth,12,3,0.517178,0.267408,0.611251,0.421129,0.262824,0.085968
active-gs-gt-depth,13,3,0.528059,0.274658,0.599341,0.429000,0.251324,0.089100
active-gs-gt-depth,14,3,0.533203,0.278297,0.607356,0.424143,0.229555,0.073637
active-gs-gt-depth,15,3,0.537821,0.281547,0.606966,0.424940,0.244889,0.075816
active-gs-gt-depth,16,3,0.540842,0.283687,0.595888,0.433141,0.231862,0.069576
active-gs-gt-depth,17,3,0.543399,0.285516,0.607195,0.423787,0.208058,0.034327
active-gs-gt-depth,18,3,0.546367,0.287599,0.601272,0.427930,0.177723,0.013405
active-gs-gt-depth,19,3,0.551180,0.290987,0.616848,0.421199,0.211607,0.062298
active-gs-gt-depth,20,3,0.557024,0.295127,0.599140,0.429803,0.260259,0.071170
active-gs-gt-depth,21,3,0.559378,0.296786,0.596456,0.428424,0.248053,0.062639
active-gs-gt-depth,22,3,0.561017,0.297949,0.576513,0.442302,0.220842,0.059837
active-gs-gt-depth,23,3,0.562341,0.298889,0.578402,0.441121,0.226845,0.071840
active-gs-gt-depth,24,3,0.564143,0.300156,0.569769,0.447278,0.219521,0.075422
active-gs-gt-depth,25,3,0.564966,0.300737,0.572033,0.446022,0.225844,0.082647
active-gs-gt-depth,26,3,0.567279,0.302393,0.553970,0.458040,0.185781,0.024856
active-gs-gt-depth,27,3,0.569311,0.303854,0.554469,0.457698,0.185066,0.025982
active-gs-gt-depth,28,3,0.571086,0.305113,0.551710,0.459555,0.175976,0.018214
active-gs-gt-depth,29,3,0.572065,0.305790,0.575309,0.443455,0.190667,0.037150
active-gs-gt-depth,30,3,0.573308,0.306656,0.574692,0.444303,0.196086,0.045957
active-gs-gt-depth,31,3,0.575626,0.308294,0.568173,0.448838,0.180587,0.024385
active-gs-gt-depth,32,3,0.576624,0.308991,0.557286,0.455728,0.175247,0.016326
active-gs-gt-depth,33,3,0.577770,0.309811,0.551740,0.459765,0.177579,0.019348
active-gs-gt-depth,34,3,0.578958,0.310638,0.529830,0.475007,0.179863,0.023864
active-gs-gt-depth,35,3,0.579666,0.311141,0.526350,0.477469,0.178118,0.022991
active-gs-gt-depth,36,3,0.580657,0.311844,0.526580,0.477339,0.175204,0.021355
active-gs-gt-depth,37,3,0.581979,0.312790,0.532242,0.473382,0.180226,0.030143
active-gs-gt-depth,38,3,0.582912,0.313459,0.538990,0.468699,0.184163,0.036631
active-gs-gt-depth,39,3,0.583027,0.313540,0.554470,0.459127,0.182698,0.041940
active-gs-gt-depth,40,3,0.583334,0.313756,0.551926,0.461598,0.180417,0.039234
active-gs-gt-depth,41,3,0.583970,0.314198,0.552282,0.462002,0.198898,0.063884
active-gs-gt-depth,42,3,0.584577,0.314625,0.554973,0.459893,0.201309,0.066037
active-gs-gt-depth,43,3,0.584767,0.314759,0.557046,0.459311,0.200242,0.069320
active-gs-gt-depth,44,3,0.585676,0.315403,0.551639,0.462715,0.203487,0.064943
active-gs-gt-depth,45,3,0.586724,0.316138,0.549763,0.463299,0.199422,0.060583
active-gs-gt-depth,46,3,0.586792,0.316186,0.550556,0.463019,0.197985,0.058998
active-gs-gt-depth,47,3,0.586917,0.316273,0.547560,0.464806,0.194897,0.052790
active-gs-gt-depth,48,3,0.587536,0.316716,0.546695,0.465605,0.190931,0.049069
active-gs-gt-depth,49,3,0.587658,0.316802,0.548524,0.464956,0.199123,0.059327
active-gs-gt-depth,50,3,0.587924,0.316991,0.546762,0.466656,0.204152,0.063735
active-gs-gt-depth,51,3,0.588015,0.317056,0.547832,0.466336,0.211354,0.065668
active-gs-gt-depth,52,3,0.588342,0.317287,0.548570,0.466195,0.213430,0.067345
active-gs-gt-depth,53,3,0.588464,0.317373,0.544147,0.469367,0.214048,0.064609
active-gs-gt-depth,54,3,0.588814,0.317621,0.548216,0.466658,0.211639,0.060679
active-gs-gt-depth,55,3,0.589004,0.317754,0.546585,0.467728,0.210450,0.060394
active-gs-gt-depth,56,3,0.589028,0.317770,0.546656,0.467952,0.209459,0.059256
active-gs-gt-depth,57,3,0.589133,0.317847,0.544857,0.469367,0.207403,0.059158
active-gs-gt-depth,58,3,0.589193,0.317889,0.543017,0.470910,0.204142,0.059293
active-gs-gt-depth,59,3,0.589275,0.317947,0.541265,0.471811,0.204011,0.058621
active-gs-gt-depth,60,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,61,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,62,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,63,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,64,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,65,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,66,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,67,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,68,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,69,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,70,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,71,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,72,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,73,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,74,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,75,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,76,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,77,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,78,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,79,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-gt-depth,80,3,0.589968,0.318444,0.541190,0.471903,0.205442,0.056214
active-gs-pred-depth,1,3,0.126811,0.022018,1.019647,0.133783,0.219079,0.066784
active-gs-pred-depth,2,3,0.209066,0.056368,0.794702,0.291820,0.124604,0.033028
active-gs-pred-depth,3,3,0.295881,0.125896,0.602866,0.428383,0.246368,0.194703
active-gs-pred-depth,4,3,0.355555,0.154497,0.547421,0.466049,0.329713,0.255533
active-gs-pred-depth,5,3,0.385027,0.173829,0.576818,0.444375,0.336194,0.272126
active-gs-pred-depth,6,3,0.402668,0.188022,0.580675,0.442352,0.358548,0.271090
active-gs-pred-depth,7,3,0.437990,0.214376,0.621917,0.412478,0.279991,0.139809
active-gs-pred-depth,8,3,0.442881,0.218168,0.593623,0.432364,0.272818,0.147199
active-gs-pred-depth,9,3,0.459131,0.232507,0.607968,0.421909,0.293912,0.128309
active-gs-pred-depth,10,3,0.485182,0.246020,0.604660,0.424313,0.272522,0.117306
active-gs-pred-depth,11,3,0.490600,0.249772,0.598497,0.429463,0.257708,0.127888
active-gs-pred-depth,12,3,0.493330,0.251599,0.618513,0.414889,0.263550,0.111091
active-gs-pred-depth,13,3,0.494023,0.252072,0.588911,0.435652,0.258366,0.110362
active-gs-pred-depth,14,3,0.511015,0.262856,0.595428,0.430746,0.255662,0.122737
active-gs-pred-depth,15,3,0.516195,0.266510,0.591079,0.437049,0.239039,0.142659
active-gs-pred-depth,16,3,0.516519,0.266757,0.608422,0.422692,0.222430,0.150004
active-gs-pred-depth,17,3,0.528236,0.274766,0.587617,0.438738,0.210059,0.138744
active-gs-pred-depth,18,3,0.532627,0.277883,0.574986,0.445950,0.192149,0.071432
active-gs-pred-depth,19,3,0.533850,0.278750,0.590154,0.437075,0.176827,0.046177
active-gs-pred-depth,20,3,0.537944,0.281628,0.594538,0.434979,0.161207,0.064500
active-gs-pred-depth,21,3,0.542207,0.284669,0.594880,0.433728,0.161914,0.055825
active-gs-pred-depth,22,3,0.543349,0.285481,0.589630,0.438310,0.159572,0.054813
active-gs-pred-depth,23,3,0.544400,0.286246,0.580766,0.446019,0.156316,0.058848
