method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
active-gs-gt-depth,1,18,0.079511,0.039801,1.689191,0.494623,5.855046,5.502261
active-gs-gt-depth,2,18,0.254049,0.046331,1.374694,0.324224,7.168913,6.502865
active-gs-gt-depth,3,18,0.383550,0.085220,0.504865,0.254657,5.842875,3.242385
active-gs-gt-depth,4,18,0.465324,0.079205,0.408129,0.198244,41.493640,148.876480
active-gs-gt-depth,5,18,0.503761,0.073772,0.348345,0.124426,37.638831,133.123146
active-gs-gt-depth,6,18,0.526629,0.076383,0.313922,0.088402,36.017134,127.994906
active-gs-gt-depth,7,18,0.541183,0.079369,0.293563,0.082984,34.337610,121.823574
active-gs-gt-depth,8,18,0.591729,0.072511,0.286120,0.058090,34.381206,119.950802
active-gs-gt-depth,9,18,0.615910,0.070882,0.273611,0.046988,33.901219,118.913007
active-gs-gt-depth,10,18,0.653638,0.049845,0.270883,0.054468,27.465070,93.609928
active-gs-gt-depth,11,18,0.679860,0.037377,0.269517,0.050165,26.773178,91.532626
active-gs-gt-depth,12,18,0.697003,0.036425,0.266101,0.049414,49.275617,110.208582
active-gs-gt-depth,13,18,0.709607,0.034293,0.263637,0.051035,48.413144,109.424902
active-gs-gt-depth,14,18,0.720619,0.035432,0.266185,0.050019,48.042882,102.241386
active-gs-gt-depth,15,18,0.730433,0.024241,0.268838,0.054159,46.364691,96.582036
active-gs-gt-depth,16,18,0.739267,0.020736,0.261219,0.041554,44.140802,89.086027
active-gs-gt-depth,17,18,0.749027,0.018688,0.266247,0.046112,41.765548,84.100306
active-gs-gt-depth,18,18,0.755282,0.017852,0.262664,0.040031,50.489189,85.348555
active-gs-gt-depth,19,18,0.762133,0.016323,0.257919,0.032938,46.661145,76.032775
active-gs-gt-depth,20,18,0.766647,0.017836,0.262996,0.039395,42.832640,69.516486
active-gs-pred-depth,1,18,0.079511,0.039801,1.694600,0.494727,5.855046,5.502261
active-gs-pred-depth,2,18,0.269778,0.104242,1.471337,0.452724,6.379214,5.372679
active-gs-pred-depth,3,18,0.353955,0.080534,0.540884,0.466019,74.353128,278.590263
active-gs-pred-depth,4,18,0.439425,0.078169,0.599294,0.675407,52.213482,189.112559
active-gs-pred-depth,5,18,0.495001,0.071679,0.548614,0.576280,50.546859,177.137480
active-gs-pred-depth,6,18,0.538644,0.066825,0.536272,0.537714,44.953445,153.778413
active-gs-pred-depth,7,18,0.571710,0.049491,0.475596,0.535030,44.961253,153.785069
active-gs-pred-depth,8,18,0.582036,0.052367,0.472167,0.533376,44.518895,153.878751
active-gs-pred-depth,9,18,0.598641,0.056021,0.497992,0.541145,74.048538,188.162973
active-gs-pred-depth,10,18,0.613227,0.059075,0.498020,0.547274,84.527582,180.716631
active-gs-pred-depth,11,18,0.624245,0.061103,0.507725,0.546081,88.749268,179.649421
active-gs-pred-depth,12,18,0.627472,0.063747,0.501229,0.547848,84.259271,174.313033
active-gs-pred-depth,13,18,0.630819,0.066414,0.498728,0.548271,83.838747,174.001536
active-gs-pred-depth,14,18,0.631609,0.066934,0.499969,0.548431,83.809722,174.013386
active-gs-pred-depth,15,18,0.632773,0.068308,0.500431,0.548588,83.822459,174.007233
active-gs-pred-depth,16,18,0.633968,0.069385,0.495522,0.550544,83.805832,174.014514
active-gs-pred-depth,17,18,0.634233,0.069677,0.495123,0.550979,83.810155,174.012594
active-gs-pred-depth,18,18,0.634670,0.070087,0.492369,0.551575,83.784567,174.024023
active-gs-pred-depth,19,18,0.634670,0.070087,0.492369,0.551575,83.784567,174.024023
active-gs-pred-depth,20,18,0.634670,0.070087,0.492369,0.551575,83.784567,174.024023
random,1,9,0.076651,0.025816,1.613770,0.691709,3.444704,3.546878
random,2,9,0.131931,0.030458,1.262147,0.461311,5.339560,4.479193
random,3,9,0.192442,0.038567,2.248122,2.228114,41.012232,74.252101
random,4,9,0.225660,0.041044,1.380735,0.720802,40.637042,74.012925
random,5,9,0.259568,0.032156,1.125303,0.607771,38.488414,70.364685
random,6,9,0.295484,0.030153,0.735516,0.540216,46.775255,81.844705
random,7,9,0.320322,0.028859,0.522295,0.268315,44.287852,75.518140
random,8,9,0.339395,0.018506,0.553369,0.278937,42.286439,71.329994
random,9,9,0.374753,0.029659,0.550458,0.297663,43.036147,69.643632
random,10,9,0.391295,0.031449,0.451969,0.241181,40.568058,65.228794
random,11,9,0.408363,0.028254,0.344148,0.102038,38.606897,61.477394
random,12,9,0.415001,0.027220,0.334696,0.088036,36.418729,57.173024
random,13,9,0.443902,0.031552,0.313737,0.092021,35.228676,55.525118
random,14,9,0.460103,0.029833,0.314611,0.106048,35.498100,50.423941
random,15,9,0.473741,0.026019,0.293397,0.074720,32.801372,44.741065
random,16,9,0.489297,0.022446,0.308568,0.071168,30.483916,39.523896
random,17,9,0.491168,0.020563,0.301213,0.070528,30.457622,39.529966
random,18,9,0.493415,0.019707,0.301235,0.071226,30.391424,39.567125
random,19,9,0.494289,0.019606,0.304626,0.068849,30.562856,39.486299
random,20,9,0.494326,0.019636,0.294915,0.072971,30.545888,39.495349
